DESIGNATION	REFERENCE	QUANTITE	PRIX UNITAIRE
CONDENSATEUR 45µF	45µF	1.00	45.0000
VIS ST 6X12	6X12	30.00	0.6000
TEMPORISATEUR H3YN-2 200-230VAC MINUTERIE,MULTIPLAGE JUSQU'À 10 MIN.,MULTIFONCTION,200-230 VC.A.,2 INVERSEURS,5 A,MONTAGE SUR SOCLE OMRON	H3YN-2 200-230VAC MINUTERIE,MULTIPLAGE JUSQU'À 10 MIN.,MULTIFONCTION,200-230 VC.A.,2 INVERSEURS,5 A,MONTAGE SUR SOCLE OMRON	2.00	685.0000
TRUELLE BELLOTA-5844A	5844A	1.00	135.0000
AXE 30X900-CLV 8	30X900-CLV 8	1.00	500.0000
POULIE ORANGE PLASTIC 1C 250 DIAM 30 MM	1C 250 DIAM 30 MM	4.00	80.0000
AXE MARTO ACIER 45X150	45X150	1.00	540.0000
RELAIS COMPACT G2R-2-SN 24VDC (S),PLAQUE D'IDENTIFICATION,INDICATEUR MECANIQUE,INDICATEUR DEL,24 VC.C.,2 INVERSEURS,5A	G2R-2-SN 24VDC (S),PLAQUE D'IDENTIFICATION,INDICATEUR MECANIQUE,INDICATEUR DEL,24 VC.C.,2 INVERSEURS,5A	1.00	80.0000
RELAIS A BROCHE MY4IN 24VDC (S) RELAIS MINIATURE,INDICATEUR DEL,BOUTON DE TEST,24 VC.C.,4 INVERSEURS,5A,MONTAGE SUR SOCLE OMRON	MY4IN 24VDC (S) RELAIS MINIATURE,INDICATEUR DEL,BOUTON DE TEST,24 VC.C.,4 INVERSEURS,5A,MONTAGE SUR SOCLE OMRON	10.00	94.0000
CIRCLIPS D.ext 20	D.ext 20	20.00	3.5000
ROULEMENT 6002	6002	13.00	8.0000
CIRCLIPS D.ext 20	D.ext 20	30.00	3.5000
CABLE ELECTRIQUE SOUPLE 2X1,5mm²	2X1,5mm²	100.00	7.2000
RONDELLE PLATE D20	D20	50.00	0.7000
COURROIE B-54	B-54	4.00	76.0000
DISQUE A TRONCONNER 125X1,6X22,23	125X1,6X22,23	25.00	8.0000
BOULON TH 10X50	10X50	20.00	2.2000
FER CARRE 12X12X6000	12X12X6000	10.00	75.0000
BOULON TH 10X25	10X25	50.00	1.3000
BOULON TH 10X40	10X40	20.00	1.6000
GANT CUIR M/C	M/C	30.00	12.5000
GOUPILLE 6X30	6X30	100.00	1.5000
POINCON INFERIEUR 25X50 6580-155	6580-155	12.00	3894.0000
CHAINE SIMPLE(metres) 08B1-PAS 1/2	08B1-PAS 1/2	15.00	58.0000
CABLE U1000-RO2V-4X35MM²	U1000-RO2V-4X35MM²	60.00	223.0000
AXE 30X2250 D.CLV=6 D.TR=6	30X2250	1.00	1200.0000
TUBE RIGIDE PVC D21	D21	6.00	7.5000
PLAQUES POUR REDUCTION DE L'EPAISSEUR DE  POINCONS SUP-25X50	25X50	4.00	1980.0000
DISJONCTEUR ABB TMAX XT 1B 160-125A 4P	TMAX XT 1B 160-125A 4P	1.00	1208.3300
PAQUET ELECTRODE 3,15X200-2000	3,15X200-2000	2.00	115.0000
CORNIERE 40X40X1,8	40X40X1,8	10.00	95.0000
VIS TC 8X25	8X25	50.00	1.5000
COLLIER COLSONG 7,5X300-NOIR	7,5X300-NOIR	100.00	0.5000
ROULEMENT 2016 HK	2016 HK	40.00	7.5000
POINCON SUPERIEUR-25X50 6581-155	25X50 6581-155	12.00	4169.0000
VIS TC 8X20	8X20	80.00	1.2500
DETECTEUR DE PROXIMITE INDUCTIF IS-08-A1-03 PNP NO 2MT	IS-08-A1-03 PNP NO 2MT	2.00	310.0000
CABLE ELECTRIQUE SOUPLE 1X35MM²	1X35MM²	20.00	65.0000
COURROIE C-315	C-315	8.00	460.0000
COURROIE C-280	C-280	2.00	570.0000
COURROIE DENTEE 12,50X1250	12,50X1250	4.00	25.0000
ROULEMENT 608	608	20.00	8.0000
CHAINE SIMPLE(metres) 08B1-PAS 1/2	08B1-PAS 1/2	5.00	58.0000
VIS ST 6X8	6X8	40.00	0.5000
ROULEMENT 2016 HK	2016 HK	110.00	7.5000
FLEXIBLE 1/2	1/2	1.00	150.0000
MANCHE BALAI CANTONNIER 1,20 MTS	1,20 MTS	1.00	15.0000
BALAI CANTONNIER 400MM-PVC FIBRE	400MM-PVC FIBRE	1.00	41.6700
ARRET HUILE POMPE GASOIL POCLAIN 225	POCLAIN 225	1.00	180.0000
FLEXIBLE AIR TEFLON 1/2	1/2	1.00	280.0000
FILTRE A GASOIL POCLAIN225	POCLAIN225	1.00	150.0000
HUILE VP SAE-140	VP SAE-140	20.00	41.7500
HUILE VP SAE-90	VP SAE-90	20.00	33.0000
TUBE INJECTEUR CAT225	CAT225	1.00	140.0000
COURROIE D-180	D-180	2.00	728.0000
FILTRE A HUILE 225	225	1.00	160.0000
ECROU D5	D5	100.00	0.1500
RONDELLE PLATE 8X30	8X30	100.00	0.3500
VIS TC 10X30	10X30	50.00	1.8000
RONDELLE PLATE D8	D8	100.00	0.2000
RONDELLE PLATE D10	D10	50.00	0.2200
REDUCTION CHROME 1/2X3/8	1/2X3/8	1.00	10.0000
RONDELLE PLATE 10X30	10X30	50.00	0.4000
COURROIE C-300	C-300	2.00	595.0000
RONDELLE PLATE 6X30	6X30	50.00	0.3500
DISJONCTEUR MAGNETO-THERMIQUE GV2 ME20 13 -18A	GV2 ME20 13 -18A	4.00	585.0000
DISJONCTEUR T5N 400A-4P	T5N 400A-4P	1.00	5500.0000
ROULEMENT 6202	6202	20.00	18.4000
MAMELON N°280-D=1"	N°280-D=1"	2.00	11.0000
CONTACTEUR LC1 D50-220V	LC1 D50-220V	3.00	1207.0000
TE N°130-D=1"	N°130-D=1"	1.00	14.1700
MAMELON N°280-D=1/2	N°280-D=1/2	1.00	6.6700
DISJONCTEUR 3P-50A-ABB	3P-50A-ABB	5.00	295.0000
CONTACTEUR LC1 D32-220V	LC1 D32-220V	9.00	695.0000
DISJONCTEUR MOTEUR GV3P50	GV3P50	1.00	1689.0000
RELAIS TEMPORISE 1CMDTO	1CMDTO	1.00	300.0000
RELAIS DE PHASE GRV08	GRV08	1.00	250.0000
CABLE SOUPLE SV 0,75	0,75	45.00	1.4500
ROULEMENT 6308	6308	6.00	116.0000
TUYEAU HP R1-3/4	R1-3/4	1.20	50.0000
SOCLE PYF-14- ESN	PYF-14- ESN	11.00	45.0000
TRANSFORMATEUR MONOPHASE  PRIMAIRE=220-380V,SECONDAIRE=110-220V,PUISSANCE=1000 VA	PRIMAIRE=220-380V,SECONDAIRE=110-220V,PUISSANCE=1000 VA	1.00	1150.0000
DISJONCTEUR 3P-32A-ABB	3P-32A-ABB	4.00	185.0000
BOUTON POUSSOIR ROUGE EA42	EA42	11.00	50.0000
BOUTON POUSSOIR LUMINEUX MARCHE LAY4-EW3561	LAY4-EW3561	8.00	80.0000
BLOC A BARRE 250A 11.T	250A 11.T	1.00	850.0000
DISJONCTEUR MAGNETO-THERMIQUE GV2 ME21 17-23A	GV2 ME21	5.00	625.0000
DISJONCTEUR MAGNETO-THERMIQUE GV2 ME08 2,5 -4A	GV2 ME08 2,5 -4A	5.00	510.0000
ARRET URGENCE AU2PA	AU2PA	1.00	85.0000
VOYANT LUMINEUX VERT 220V	220V	11.00	15.0000
SCOTCH ISOLANT 19mmX0,13mmX25m	19mmX0,13mmX25m	10.00	9.0000
COMMUTATEUR 3 POSITIONS	3P	2.00	23.0000
ADAPTEUR HP-12X16	HP-12X16	2.00	25.0000
BLOC ADDITIF LA DN 22-SCHNEIDER ELECTRIC	LA DN 22-SCHNEIDER ELECTRIC	4.00	72.0000
BLOC ADDITIF LA DN 22-SCHNEIDER ELECTRIC	LA DN 22-SCHNEIDER ELECTRIC	2.00	110.0000
RAIL OMEGA PERFORE 15MM	15MM	8.00	12.5000
PALIER UCP 207	207	4.00	72.0000
PALIER UCP 207	207	2.00	62.5000
BLOC TEMPORISE LA DT2 0,1-30S	LA DT2 0,1-30S	2.00	295.0000
ROULEMENT 6208	6208	2.00	77.7000
ROULEMENT 6205	6205	5.00	28.3000
VOYANT LUMINEUX ROUGE 220V	220V	11.00	15.0000
ROULEMENT 6206	6206	4.00	39.4500
FEUILLE PAPIER IMPERMEABLE P180-23X28CM	P180-23X28CM	50.00	4.4000
FICHE INDUSTRIELLE MALE 2P+T-16A-220V	2P+T-16A-220V	4.00	9.0000
TE N°130-D=1/2	N°130-D=1/2	1.00	8.7500
BORNE SUR RAIL 2,5-4mm²	2,5-4mm²	40.00	5.0000
RELAIS TEMPORISATEUR SIB-C43-134	C43-134	11.00	60.0000
BORNE SUR RAIL 4-6mm²	4-6mm²	10.00	6.0000
ROULEMENT 2016 HK	2016 HK	100.00	7.5000
GOULOTTE PERFOREE 25/40	25/40	8.00	15.0000
ROULEMENT 6203	6203	10.00	21.5000
REDUCTION CHROME 1/2X3/8	1/2X3/8	1.00	10.0000
RACCORD BSP-FEMELLE 3/4X3/4 C90	3/4X3/4 C90	1.00	55.0000
RACCORD BSP-FEMELLE 3/4X3/4	3/4X3/4	1.00	25.0000
COSSE TERMINALE EMBOUT 0,75	EMBOUT 0,75	200.00	0.1200
HUILE 15W-40 5L	15W-40	5.00	210.0000
ROULEMENT 6306	6306	2.00	62.7000
CONTACT-AUXILIAIRE GVAE11	GVAE11	10.00	75.0000
REDUCTION CHROME 1/2"X1/4"	1/2"X1/4"	2.00	10.0000
BAGUE HP-R2-3/4"	HP-R2-3/4"	2.00	20.8400
VANNE A BOISSEAU SPHERIQUE 1"	1"	1.00	135.0000
HUILE 15W-40 5L	15W-40	4.00	210.0000
SOCLE PYF-14- ESN	PYF-14- ESN	10.00	45.0000
GRAISSE HT MO2	MO2	18.00	65.0000
FORET CYL HSS COBALT D6	D6	2.00	15.0000
MOUSSE POLYURETHANE 750 ml	750 ml	2.00	50.0000
VIS SPAX ABC 5X40	5X40	20.00	0.2500
CHEVILLE METALIQUE MALE 8X150	8X150	20.00	3.5000
CABLE ELECTRIQUE SOUPLE 2X1,5mm²	2X1,5mm²	100.00	7.2000
COMMUTATEUR 2 POSITIONS	2P	3.00	18.0000
SILICONNE ACRYRUB BLANC 500G-SOVDAL	500G-SOVDAL	5.00	20.8300
KIT SEGMENT & ROULEMENT	MAXI	1.00	950.0000
RACCORD BSP-M1/2X1/2	BSP-M1/2X1/2	5.00	25.0000
RACCORD BSP-F1/2X1/2	BSP-F1/2X1/2	5.00	25.0000
DISQUE ELEVATEUR	MAXI	4.00	180.0000
VIS TF 6X40	6X40	40.00	1.0000
PLAT	MAXI	4.00	160.0000
LAMPE ELECTRIQUE LED E27-15W	E27-15W	4.00	20.0000
BAGUE BP D22,9	D22,9	10.00	16.6700
JOINT & PLAT VERIN 930	930	1.00	120.0000
ATTACHE CHAINE SIMPLE 08B1-PAS=1/2	08B1-PAS=1/2	15.00	3.0000
COURROIE C-200	C-200	2.00	420.0000
ROULEMENT 6902	6902	1.00	135.0000
CALAPHETT L200	L200	4.00	5.0000
ARRET HUILE 50X68X10	50X68X10	1.00	15.0000
ARRET HUILE 50X68X10	50X68X10	1.00	30.0000
CIRCLIPS D75	D75	2.00	32.0000
ROULEMENT 6906	6906	5.00	30.0000
SUPPORT CUIVRE 2 TROU L=50X l=21	L=50X l=21	4.00	50.0000
ROULEMENT 61906	61906	6.00	30.0000
ROULEMENT 6906	6906	4.00	24.0000
ROULEMENT 209-UC	209-UC	4.00	60.0000
CHAINE DOUBLE(metres) 06B2-PAS=3/8	06B2-PAS=3/8	5.00	115.0000
GANT NOIR ARMANO	ARMANO	5.00	12.0000
MESURE CENTIGRAFFE 5MTS-7000/5	5MTS-7000/5	1.00	70.0000
HUILE MEGA-40 20LT	MEGA-40 20LT	20.00	35.2500
BOUTON POUSSOIR MARCHE	BPV PA	5.00	35.0000
HUILE VP SAE-90 5LT	VP SAE-90 5LT	2.00	176.0000
HUILE SPINDLE-10W	SPINDLE-10W	20.00	35.4000
ATTACHE CHAINE SIMPLE 08B1-PAS=1/2	08B1-PAS=1/2	15.00	3.0000
CHAPES A PICOTS PP 16M/M	PP 16M/M	6000.00	0.1200
CONTACT-AUXILIAIRE GVAE11	GVAE11	8.00	75.0000
BOUTON POUSSOIR MARCHE	BPV PA	2.00	18.0000
BOBINE FEUILLARD EN POLYPROPYLENE PP1508ECO-NR-D1-15X0.8 MM ECO DIAM 200MM-POIDS 10KG	PP1508ECO-NR-D1-15X0.8 MM ECO DIAM 200MM-POIDS 10KG	20.00	320.0000
COMMUTATEUR 2 POSITIONS	2P	2.00	19.0000
ARRET HUILE 35X55X10	35X55X10	2.00	8.5000
COURROIE C-200	C-200	2.00	420.0000
DISJONCTEUR MAGNETO-THERMIQUE GV2 ME20 13 -18A	GV2 ME20 13 -18A	1.00	550.0000
SCOTCH TRANSPARENT 50mmX100M	50mmX100M	720.00	9.8000
BOULON TH 8X25	8X25	50.00	0.7000
ROULEMENT 6202	6202	10.00	38.0000
ECROU D8	D8	50.00	0.2500
POMPE FLOJET G57 G575225A-SIB-C24-031	G575225A-SIB-C24-031	3.00	1089.8800
THERMOCOUPLE 06500613	06500613	2.00	545.6000
GARNITURE 05015010	05015010	2.00	43.1200
FILTRE CARTOUCHE 05673970	05673970	2.00	430.8700
ENTRETOISE PH68402047	PH68402047	2.00	2299.5500
MICRO CONTACT 00139962 SQ59	00139962	12.00	227.0400
FILTRE CARTOUCHE 05673042	05673042	2.00	254.5400
GARNITURE 05015008	05015008	12.00	7.2600
FILTRE CARTOUCHE 05673018	05673018	2.00	229.5700
FILTRE CARTOUCHE 05671872	05671872	2.00	805.9700
FILTRE CARTOUCHE 05673816	05673816	2.00	571.7800
SOUPAPE 05558319	05558319	1.00	720.1700
POULIE FOLLE LISSE PREPARATEUR	SS	2.00	702.0000
POULIE DENTEE FIXE PREPARATEUR ET KIT TOLLOCK	SS	2.00	1233.6100
ROULEMENT 6309	6309	1.00	225.0000
RACCORD 05113014	05113014	1.00	341.0000
CAPTEUR DE SECURITE 070132	070132	2.00	894.6300
CONTACTEUR-SIEMENS- 3RT2026-1AG20 SIB-C1-460	C1-460	4.00	216.0400
REDUCTEUR HU042 1:7,19 200/24 AXE SORT.30mm-SIB-C12-637	SIB-C12-637	1.00	2807.3100
COURROIE OUVERTE DENTEE PREPARATEUR T 10 LARGE 11950 RP 2500 16MM	T 10 LARGE 11950 RP 2500 16MM	2.00	1248.0000
CABLE SQ 59	PH20187952	1.00	1395.6800
CONTACTEUR-SIEMENS- 3RT1024-3AG20 SIB-C1-472	C1-472	2.00	125.2900
COLLIER 06440665	06440665	5.00	34.1000
NIPPLE 05114029	05114029	2.00	151.0300
VIS 05092008	05092008	4.00	41.4700
RACCORD PH33904009	PH33904009	1.00	1682.2300
JOINT A BIAIS PH55610032	PH55610032	1.00	968.8800
AUTOREGULATEUR XN3100/95	SIB-C-060	1.00	5841.7700
COUDE 05115027	05115027	1.00	598.2900
INDICATEUR 05671102	05671102	1.00	711.4800
FILTRE 05671022	05671022	1.00	6274.0700
TUYAU 05204019	05204019	1.00	852.3900
CONTACTEUR-SIEMENS- 3RT2015-1AF01 SIB-C1-733	C1-733	2.00	85.6900
PISTON	PH68036004	1.00	3326.4000
TUYAU 05206421	05206421	2.00	438.5700
AUTOREGULATEUR XF3100/99	SIB-C1-3445	1.00	9623.7900
ARRET HUILE 50X68X8	50X68X8	1.00	15.0000
VIBREUR REBOBINE 300W-2750 T/MIN	300W-2750 T/MIN	1.00	600.0000
GOUPILLE 3X50	3X50	50.00	2.0000
DEVIDOIR MANUEL ATYT	ATYT	3.00	70.0000
COURROIE B-64	B-64	4.00	90.0000
DISJONCTEUR 3P-20A	20A-3P	1.00	295.0000
PRESSE ETOUPE-PLASTIC D16	D16	6.00	3.5000
TUBE FLUO LED 1,20 M	1,20 M	4.00	25.0000
DISJONCTEUR 2P-16A	2P-16A	2.00	45.0000
BOITE ETANCHE RONDE 70X35	70X35	3.00	3.5000
REGLETTE ETANCHE LED SIMPLE 1X36W-IK10-IP65/LAMPE T8/G13-36W	1X36W-IK10-IP65/LAMPE T8/G13-36W	1.00	150.0000
ARMATURE INDUSTRIELLE 150W	150W	1.00	650.0000
BAGUE CONFECTIONNEE 38X26X28	38X26X28	20.00	70.0000
AXE 35X20X38 TROU=10MM	35X20X38 TROU=10MM	20.00	80.0000
FILTRE A HUILE 1R0739	1R0739	2.00	160.0000
GOUJON DE COLLECTEUR CAT930	CAT930	6.00	40.0000
FILTRE A GASOIL 1R0750	1R0750	2.00	120.0000
ECROU 22P1,60	22P1,60	6.00	25.0000
HUILE DEGRIPANT 1000	1000	4.00	25.0000
GANT CUIR M/C	M/C	40.00	12.5000
BOULON TH 10X30	10X30	50.00	1.3000
BOULON TH 10X20	10X20	50.00	1.2000
BOULON TH 10X25	10X25	50.00	1.3000
ECROU D10	D10	50.00	0.8000
CORDE NYLON EN KG	SS	0.80	30.0000
ROULEMENT 6007	6007	2.00	42.0000
AXE MARTO ACIER 45X150	45X150	2.00	540.0000
VIS TC 6X16	6X16	50.00	0.6500
PIECE SPECIALE RECTANGULAIRE 50X30X15	50X30X15	10.00	180.0000
MANCHE BALAI CANTONNIER 1,20 MTS	1,20 MTS	1.00	15.0000
FORET SDS PLUS TWISTER DIAGER 8X310	8X310	1.00	60.0000
AXE ACIER 8X8	8X8	10.00	25.0000
VIS TC 6X12	6X12	50.00	0.5800
BALAI CANTONNIER 400MM-PVC FIBRE	400MM-PVC FIBRE	1.00	45.8400
PLATE TRAX 930	930	2.00	125.0000
VIS TC 6X30	6X30	50.00	0.8000
VIS ST 6X8	6X8	30.00	1.3000
RACCORD UNION RAPIDE 8X10	8X10	2.00	23.0000
TUYEAU OREGON D100	D100	12.50	108.0000
TUYEAU OREGON D150	D150	10.00	225.0000
TUBE ROND D=100-EP=3MM	D=100-EP=3MM	1.00	900.0000
PAQUET ELECTRODE 3,2X350-2000	3,2X350-2000	2.00	115.0000
TOLE NOIR 50/10(2x1)	50/10(2x1)	1.00	1200.0000
FICHE MALE 3P+N+T-32A	3P+N+T-32A	4.00	35.0000
COMMUTATEUR 2 POSITIONS	2P	3.00	50.0000
PRISE FEMELLE 3P+N+T-32A	3P+N+T-32A	4.00	40.0000
FER PLAT INOX 304 30X6	30X6	1.00	650.0000
COLLIER COLSONG 4,5X370	4,5X370	100.00	0.6000
BOITE ETANCHE 190X150	190X150	4.00	20.8300
RAIL OMEGA PERFORE 15MM	15MM	2.00	12.5000
CHEVILLE METALIQUE MALE 8X150	8X150	20.00	3.5000
DISJONCTEUR 5SX21 5SY6102-7 SIB-C49-263	C49-263	1.00	208.3300
COFFRET POLYESTER 400X600X200	400X600X200	1.00	550.0000
RAIL DIN PERFORE 2M	2M	1.00	75.0000
HUILE VP SAE-90 5LT	VP SAE-90 5LT	4.00	176.0000
FORET CYL HSS COBALT D5	D5	4.00	13.0000
HUILE VP SAE-90	VP SAE-90	40.00	33.0000
CABLE ELECTRIQUE SOUPLE 4X2,5mm²	4X2,5mm²	100.00	18.0000
PRISE ETANCHE FEMELLE 2P+T-220V	2P+T-220V	4.00	20.8300
TOLE NOIR 17/10(2X1)	17/10(2X1)	7.00	450.0000
COURROIE B-90	B-90	3.00	125.0000
ROULEMENT 6305	6305	3.00	79.0000
TOLE NOIR 17/10(2X1)	17/10(2X1)	1.00	450.0000
VIS TC 5X12	5X12	50.00	0.4500
COSSE TERMINALE EMBOUT 6	EMBOUT 6	100.00	0.4500
GRAISSE MULTITEK 2 EN KG	MULTITEK 2 EN KG	18.00	43.8800
CHIFFON HYGIENNIQUE 1er CHOIX	1er CHOIX	20.00	8.5000
VIS TC 16X100	16X100	12.00	7.0000
HUILE HYDRAULIQUE-46	HYDRAULIQUE-46	200.00	36.6000
HUILE HYDRAULIQUE-46	HYDRAULIQUE-46	1000.00	36.6000
RACCORD RAPIDE 14X1/2	14X1/2	2.00	25.0000
CONTACTEUR LC1 D32-110V	LC1 D32-110V	2.00	650.0000
CONTACTEUR LC1 D32-220V	LC1 D32-220V	2.00	650.0000
LAMPE ELECTRIQUE LED E27-11W	E27-11W	1.00	15.0000
CHAPES A PICOTS PP 16M/M	PP 16M/M	5000.00	0.1200
BLOC ADDITIF LA DN 22-SCHNEIDER ELECTRIC	LA DN 22-SCHNEIDER ELECTRIC	2.00	120.0000
PIQUET DE TERRE 1,20 MTS	1,20 MTS	2.00	50.0000
TIGE FILETE D30MMX1000MM	D30MMX1000MM	1.00	125.0000
CABLE ELECTRIQUE SOUPLE 4X1,5mm²	4X1,5mm²	50.00	13.0000
BROSSE PEINTURE PLATE 30MM	30MM	1.00	20.0000
IMPRIMATION GRISE RAMACOLOR 5KG	RAMACOLOR 5KG	1.00	135.0000
ECROU D30	D30	8.00	8.0000
CABLE ELECTRIQUE SOUPLE 3X1,5mm²	3X1,5mm²	50.00	11.0000
ROULEAU PEINTURE A MANCHE 10CM	10CM	1.00	18.0000
RAIL OMEGA PERFORE AS4	AS4	1.00	20.0000
MEULEUSE BOSCH GWS 700-115 mm	700-115 mm	1.00	480.0000
MEULEUSE BOSCH GWS  2200-230MM	2200-230MM	1.00	1300.0000
PLAQUE 300X45X12	300X45X12	1.00	450.0000
DISQUE A TRONCONNER 230X1,9X22,23	230X1,9X22,23	25.00	15.0000
PRISE FEMELLE 3P+T-16A-380V	3P+T-16A-380V	4.00	30.0000
FICHE MALE 3P+T-16A-220/380V	3P+T-16A-220/380V	4.00	40.0000
TUBE ANNELE ICT 16-Gris 9	16-Gris 9	50.00	1.8000
PROJECTEUR LED 150W6500K	150W6500K	1.00	350.0000
RACLOIR 420X160X60	420X160X60	20.00	1200.0000
ROULEMENT 22320EK	22320EK	2.00	3270.0000
PAQUET ELECTRODE 3,15X200-2000	3,15X200-2000	1.00	115.0000
GANT CUIR TYPE CONDUCTEUR CAT II NORME EN 388-T 9	CAT II NORME EN 388-T 9	1.00	35.0000
COUDE PVC FLEXIBLE D16	D16	5.00	15.0000
CABLE RVK 4X6	4X6	50.00	45.0000
CABLE U1000-RO2V-1X150	U1000-RO2V-1X150	19.00	198.0000
MANCHON H.2320	H.2320	2.00	229.9500
REDUCTION CHROME 1/2"X1/4"	1/2"X1/4"	5.00	16.0000
TUBE RIGIDE PVC D16	D16	18.00	5.0000
RACCORD RAPIDE 10X1/4"	10X1/4"	4.00	25.0000
CHEMIN DE CABLE 215/63	215/63	6.00	65.0000
CABLE ELECTRIQUE SOUPLE 1X35MM²-VERT/JAUNE	1X35MM²-VERT/JAUNE	20.00	48.0000
BARRETTE COUPURE DE TERRE SS	SS	1.00	50.0000
COLLE NEOPRENE LIQUIDE BOSTIK-500GRS- SADER	SADER	1.00	32.0000
DISQUE A TRONCONNER 230X1,9X22,23	230X1,9X22,23	10.00	14.0000
DISQUE A TRONCONNER 230X6,5X22,23	230X6,5X22,23	4.00	25.0000
FILTRE A HUILE 8944309830	8944309830	1.00	65.0000
RACCORD RAPIDE 8X1/4"	8X1/4"	8.00	14.0000
COLLIER COLSONG 4,7X370	4,7X370	300.00	0.6000
TOLE NOIR 30/10(3X1,5)	30/10(3X1,5)	2.00	1600.0000
COURROIE DENTEE 1150H100	1150H100	2.00	390.0000
CABLE ELECTRIQUE SOUPLE 2X1,5mm²	2X1,5mm²	100.00	6.5000
CABLE ELECTRIQUE SOUPLE 4X1,5mm²	4X1,5mm²	100.00	12.0000
COUDE PVC 160-C45°	160-C45°	1.00	45.0000
COLLE PVC QUILOSA-125ML	QUILOSA-125ML	1.00	18.0000
AXE 24X70-CLV=8	24X70-CLV=8	1.00	80.0000
FER PLAT 50X10X6000mm	50X10X6000mm	1.00	350.0000
TUBE CARRE 30X30X2	30X30X2	16.00	160.0000
FER PLAT 30X10X6000mm	30X10X6000mm	2.00	200.0000
COUDE PVC 160-C90°	160-C90°	1.00	45.0000
JEU CHARBON BOSCH 1119	BOSCH1119	2.00	58.3400
FILTRE A HUILE 28564	28564	1.00	100.0000
FILTRE A HUILE 8944309830	8944309830	2.00	70.0000
FILTRE A GASOIL 24542	24542	2.00	80.0000
CHAPES A PICOTS PP 16M/M	PP 16M/M	2000.00	0.1200
HUILE DEGRIPANT CEYS-400ML	CEYS-400ML	2.00	50.0000
CONTACTEUR LC1 D09-24VDC	LC1 D09-24VDC	2.00	495.0000
HUILE 15W-40 5L	15W-40	4.00	210.0000
POULIE ALESEE D30	D30	5.00	70.0000
BROSSE PEINTURE PLATE 70MM	70MM	1.00	25.0000
SCOTCH TRANSPARENT 50mmX100M	50mmX100M	720.00	9.8000
DILUANT CELLULOSIQUE 4,5 LTS SODECSO	4,5 LTS	2.00	89.0000
BOBINE FEUILLARD EN POLYPROPYLENE PP1508ECO-NR-D1-15X0.8 MM ECO DIAM 200MM-POIDS 10KG	PP1508ECO-NR-D1-15X0.8 MM ECO DIAM 200MM-POIDS 10KG	21.00	320.0000
DETECTEUR DE NIVEAU 110/230V-50/60 HZ	110/230V-50/60 HZ	3.00	1200.0000
ROULEMENT 2012 HK	2012 HK	50.00	6.5000
BOITE ETANCHE 100X100	100X100	1.00	6.0000
PAQUET ELECTRODE G49-D 4	G49-D 4	2.00	250.0000
DISQUE A TRONCONNER 230X1,9X22,23	230X1,9X22,23	10.00	13.0000
JEU TARAUD G-5X0,8	G-5X0,8	1.00	135.0000
PRESSE ETOUPE-PLASTIC D16	D16	1.00	3.5000
ROULEMENT 2016 HK	2016 HK	60.00	7.0000
FORET CYL HSS COBALT D4	D4	2.00	9.0000
FORET CYL HSS COBALT D3	D3	2.00	6.5000
IMPRIMATION GRISE SODECSO-5KG	SODECSO-5KG	2.00	105.0000
PRESSE ETOUPE-PLASTIC D29	D29	4.00	8.5000
COLLIER COLSONG 7,5X200	7,5X200	200.00	0.3500
EQUERRE ACIER INOXYDABLE 250MM-BELLOTA	250MM-BELLOTA	1.00	80.0000
SANGLE ARRIMAGE 2 TONNES	2 T	1.00	90.0000
MESURE CENTIGRAFFE 5MTS-7000/5	5MTS-7000/5	1.00	70.0000
PIECE SPECIALE RECTANGULAIRE 30X25X80	30X25X80	10.00	240.0000
BAGUE BS GAZ 1/2 BSP T21008	T21008	1.00	7.5000
EQUERRE ACIER INOXYDABLE 400X180MM	400X180MM	1.00	92.0000
FORET CYL HSS COBALT D16	D16	1.00	72.0000
ROULEMENT 6208	6208	2.00	105.0000
CHEVILLE METALIQUE MALE 8X150	8X150	20.00	4.5000
COURROIE A-57	A-57	2.00	48.0000
VIS TIREFOND 8X70	8X70	30.00	1.0000
VIBREUR REBOBINE 300W-2750 T/MIN	300W-2750 T/MIN	1.00	600.0000
BAGUE BS GAZ 3/4 BSP T21012	T21012	1.00	8.3400
COSSE FOURCHETTE 2,5	2,5	200.00	0.3300
BAGUE POULIE Ø35 CLV 10MM	Ø35 CLV 10MM	1.00	240.0000
BOULON HR  8.8 16X100	16X100	24.00	7.5000
POULIE 1SPA-150	1SPA-150	5.00	180.0000
CLE MIXTE TOPTUL10	TOPTUL10	1.00	22.5000
ECROU HR 8.8 D16	D16	24.00	2.0000
CLE MIXTE TOPTUL 8	TOPTUL 8	1.00	20.0000
TOURNEVIS TOPTUL-6,5X150	6,5X150	1.00	39.0000
BROSSE METALIQUE A MANCHE S325CI	S325CI	1.00	25.0000
REDUCTION MM 1/2X3/4	MM 1/2X3/4	1.00	25.0000
FER PLAT 120X10	120X10	1.00	800.0000
POUTRELLE HEA 200X6	200X6	2.00	4400.0000
GANT CUIR M/C	M/C	40.00	12.0000
GANT CUIR TYPE CONDUCTEUR CAT II NORME EN 388-T 9	CAT II NORME EN 388-T 9	1.00	35.0000
GANT PLASTIC	EP:0,38 MM- LARG 30CM	10.00	12.0000
MANCHON FF HEXAGONAL 3/4-BSP	3/4-BSP	1.00	20.8400
FER PLAT 50X10X6000mm	50X10X6000mm	2.00	350.0000
